Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	5.14961   	0.001000	5.58642   	0.001000	5.63945   	0.001000	5.63945   	0.001000	1.48565   	0.001000	4.10077   	
0.002000	5.23849   	0.002000	5.28678   	0.002000	5.53611   	0.002000	5.53611   	0.002000	1.92665   	0.002000	3.36013   	
0.005000	5.52546   	0.005000	4.96401   	0.005000	5.68783   	0.005000	5.68783   	0.005000	2.71663   	0.005000	2.24738   	
0.008000	5.87576   	0.008000	4.97632   	0.008000	6.08794   	0.008000	6.08794   	0.008000	3.24023   	0.008000	1.7361    	
0.010000	6.10919   	0.010000	5.04329   	0.010000	6.38576   	0.010000	6.38576   	0.010000	3.52303   	0.010000	1.52026   	
0.015000	6.96986   	0.015000	5.27871   	0.015000	7.13611   	0.015000	7.13611   	0.015000	4.10158   	0.015000	1.17713   	
0.020000	7.78122   	0.020000	5.54073   	0.020000	7.85274   	0.020000	7.85274   	0.020000	4.56881   	0.020000	0.971918  	
0.025000	8.73365   	0.025000	5.84776   	0.025000	8.52304   	0.025000	8.52304   	0.025000	5.01427   	0.025000	0.833485  	
0.030000	9.60369   	0.030000	7.01837   	0.030000	9.25223   	0.030000	9.25223   	0.030000	6.29226   	0.030000	0.726106  	
0.035000	10.3685   	0.035000	8.1763    	0.035000	9.98858   	0.035000	9.98858   	0.035000	7.52602   	0.035000	0.650277  	
0.040000	11.0263   	0.040000	9.27742   	0.040000	10.7202   	0.040000	10.7202   	0.040000	8.68728   	0.040000	0.59014   	
0.045000	11.5633   	0.045000	10.3123   	0.045000	11.4445   	0.045000	11.4445   	0.045000	9.77111   	0.045000	0.541149  	
0.050000	11.9288   	0.050000	11.2863   	0.050000	12.1593   	0.050000	12.1593   	0.050000	10.7859   	0.050000	0.500383  	
0.055000	12.557    	0.055000	12.2098   	0.055000	12.863    	0.055000	12.863    	0.055000	11.744    	0.055000	0.465871  	
0.060000	13.1171   	0.060000	13.0425   	0.060000	13.554    	0.060000	13.554    	0.060000	12.6063   	0.060000	0.436235  	
0.070000	14.0438   	0.070000	14.5553   	0.070000	14.893    	0.070000	14.893    	0.070000	14.1674   	0.070000	0.387866  	
0.080000	15.0379   	0.080000	15.9656   	0.080000	16.1683   	0.080000	16.1683   	0.080000	15.6156   	0.080000	0.349957  	
0.090000	15.87     	0.090000	17.2824   	0.090000	17.3741   	0.090000	17.3741   	0.090000	16.9631   	0.090000	0.319363  	
0.100000	16.5758   	0.100000	18.5076   	0.100000	18.5068   	0.100000	18.5068   	0.100000	18.2135   	0.100000	0.294101  	
0.120000	17.3156   	0.120000	20.6904   	0.120000	20.5476   	0.120000	20.5476   	0.120000	20.4357   	0.120000	0.254709  	
0.140000	17.8667   	0.140000	22.5426   	0.140000	22.2933   	0.140000	22.2933   	0.140000	22.3173   	0.140000	0.225297  	
0.160000	18.3532   	0.160000	24.1077   	0.160000	23.7626   	0.160000	23.7626   	0.160000	23.9053   	0.160000	0.202422  	
0.180000	18.8327   	0.180000	25.4315   	0.180000	24.9833   	0.180000	24.9833   	0.180000	25.2474   	0.180000	0.184076  	
0.200000	19.3268   	0.200000	26.5553   	0.200000	25.9869   	0.200000	25.9869   	0.200000	26.3863   	0.200000	0.169005  	
0.250000	20.2662   	0.250000	28.9436   	0.250000	27.7499   	0.250000	27.7499   	0.250000	28.8027   	0.250000	0.140859  	
0.300000	21.3915   	0.300000	31.2328   	0.300000	28.7738   	0.300000	28.7738   	0.300000	31.1116   	0.300000	0.121232  	
0.350000	22.3296   	0.350000	32.8117   	0.350000	29.3554   	0.350000	29.3554   	0.350000	32.705    	0.350000	0.106703  	
0.400000	23.0993   	0.400000	33.9003   	0.400000	29.6793   	0.400000	29.6793   	0.400000	33.8049   	0.400000	0.0954801 	
0.450000	23.9492   	0.450000	34.9113   	0.450000	30.9159   	0.450000	30.9159   	0.450000	34.8247   	0.450000	0.0865292 	
0.500000	24.6912   	0.500000	35.82     	0.500000	31.8967   	0.500000	31.8967   	0.500000	35.7408   	0.500000	0.0792112 	
0.600000	24.8948   	0.600000	36.9264   	0.600000	32.7559   	0.600000	32.7559   	0.600000	36.8585   	0.600000	0.0679343 	
0.700000	24.6286   	0.700000	37.4076   	0.700000	32.7058   	0.700000	32.7058   	0.700000	37.3479   	0.700000	0.0596244 	
0.800000	24.5813   	0.800000	36.8204   	0.800000	32.5285   	0.800000	32.5285   	0.800000	36.7671   	0.800000	0.0532287 	
0.900000	24.4291   	0.900000	36.057    	0.900000	32.2751   	0.900000	32.2751   	0.900000	36.0088   	0.900000	0.0481435 	
1.000000	24.2339   	1.000000	35.3181   	1.000000	31.9719   	1.000000	31.9719   	1.000000	35.2741   	1.000000	0.0439965 	
1.250000	23.5597   	1.250000	33.5687   	1.250000	31.0157   	1.250000	31.0157   	1.250000	33.5324   	1.250000	0.0363281 	
1.500000	22.7826   	1.500000	31.9313   	1.500000	29.746    	1.500000	29.746    	1.500000	31.9002   	1.500000	0.0310434 	
1.750000	22.0707   	1.750000	30.557    	1.750000	28.6071   	1.750000	28.6071   	1.750000	30.5298   	1.750000	0.0271666 	
2.000000	21.3658   	2.000000	29.307    	2.000000	27.5631   	2.000000	27.5631   	2.000000	29.2828   	2.000000	0.0241938 	
2.250000	20.6868   	2.250000	28.1202   	2.250000	26.5962   	2.250000	26.5962   	2.250000	28.0983   	2.250000	0.0218372 	
2.500000	22.9346   	2.500000	27.0197   	2.500000	25.6957   	2.500000	25.6957   	2.500000	26.9998   	2.500000	0.0199204 	
3.000000	21.3099   	3.000000	24.999    	3.000000	24.0659   	3.000000	24.0659   	3.000000	24.982    	3.000000	0.0169853 	
3.500000	19.8785   	3.500000	23.2906   	3.500000	22.6302   	3.500000	22.6302   	3.500000	23.2758   	3.500000	0.0148379 	
4.000000	18.622    	4.000000	21.8515   	4.000000	21.3563   	4.000000	21.3563   	4.000000	21.8383   	4.000000	0.0131946 	
4.500000	17.5162   	4.500000	20.5843   	4.500000	20.2191   	4.500000	20.2191   	4.500000	20.5724   	4.500000	0.0118944 	
5.000000	16.5381   	5.000000	19.4555   	5.000000	19.1978   	5.000000	19.1978   	5.000000	19.4446   	5.000000	0.0108384 	
5.500000	15.6681   	5.500000	18.4441   	5.500000	18.2758   	5.500000	18.2758   	5.500000	18.4342   	5.500000	0.00996287	
6.000000	14.8897   	6.000000	17.5332   	6.000000	17.4394   	6.000000	17.4394   	6.000000	17.5239   	6.000000	0.0092245 	
6.500000	14.1895   	6.500000	16.7084   	6.500000	16.6771   	6.500000	16.6771   	6.500000	16.6998   	6.500000	0.00859293	
7.000000	13.5564   	7.000000	15.9582   	7.000000	15.9794   	7.000000	15.9794   	7.000000	15.9501   	7.000000	0.00804622	
7.500000	12.9812   	7.500000	15.2728   	7.500000	15.3385   	7.500000	15.3385   	7.500000	15.2652   	7.500000	0.00756808	
8.000000	12.4562   	8.000000	14.6442   	8.000000	14.7476   	8.000000	14.7476   	8.000000	14.6371   	8.000000	0.00714618	
8.500000	11.9751   	8.500000	14.0656   	8.500000	14.2011   	8.500000	14.2011   	8.500000	14.0588   	8.500000	0.006771  	
9.000000	11.5327   	9.000000	13.5311   	9.000000	13.6941   	9.000000	13.6941   	9.000000	13.5247   	9.000000	0.00643506	
9.500000	11.1243   	9.500000	13.0359   	9.500000	13.2225   	9.500000	13.2225   	9.500000	13.0298   	9.500000	0.00613243	
10.000000	10.7462   	10.000000	12.0527   	10.000000	12.7825   	10.000000	12.7825   	10.000000	12.0468   	10.000000	0.0058583 	
11.000000	10.0679   	11.000000	11.412    	11.000000	11.9469   	11.000000	11.9961   	11.000000	11.4066   	11.000000	0.00538061	
