Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	4.83717   	0.001000	5.22625   	0.001000	5.24196   	0.001000	5.24196   	0.001000	1.37832   	0.001000	3.84793   	
0.002000	4.90007   	0.002000	4.91208   	0.002000	5.09602   	0.002000	5.09602   	0.002000	1.78746   	0.002000	3.12461   	
0.005000	5.16127   	0.005000	4.58878   	0.005000	5.1854    	0.005000	5.1854    	0.005000	2.52037   	0.005000	2.0684    	
0.008000	5.49274   	0.008000	4.59723   	0.008000	5.53378   	0.008000	5.53378   	0.008000	3.00614   	0.008000	1.59108   	
0.010000	5.71406   	0.010000	4.65934   	0.010000	5.79889   	0.010000	5.79889   	0.010000	3.26852   	0.010000	1.39082   	
0.015000	6.52644   	0.015000	4.87914   	0.015000	6.47262   	0.015000	6.47262   	0.015000	3.80527   	0.015000	1.07387   	
0.020000	7.2914    	0.020000	5.12387   	0.020000	7.11905   	0.020000	7.11905   	0.020000	4.23874   	0.020000	0.885127  	
0.025000	8.18837   	0.025000	5.41016   	0.025000	7.72682   	0.025000	7.72682   	0.025000	4.65202   	0.025000	0.758138  	
0.030000	9.00278   	0.030000	6.49803   	0.030000	8.42813   	0.030000	8.42813   	0.030000	5.83806   	0.030000	0.659971  	
0.035000	9.72794   	0.035000	7.57494   	0.035000	9.1376    	0.035000	9.1376    	0.035000	6.98437   	0.035000	0.590576  	
0.040000	10.3475   	0.040000	8.60031   	0.040000	9.84392   	0.040000	9.84392   	0.040000	8.0647    	0.040000	0.535617  	
0.045000	10.8054   	0.045000	9.56527   	0.045000	10.5442   	0.045000	10.5442   	0.045000	9.07437   	0.045000	0.490894  	
0.050000	11.1505   	0.050000	10.4747   	0.050000	11.2362   	0.050000	11.2362   	0.050000	10.021    	0.050000	0.453711  	
0.055000	11.7415   	0.055000	11.3027   	0.055000	11.9181   	0.055000	11.9181   	0.055000	10.8804   	0.055000	0.422256  	
0.060000	12.2691   	0.060000	12.0536   	0.060000	12.5882   	0.060000	12.5882   	0.060000	11.6583   	0.060000	0.395263  	
0.070000	13.1434   	0.070000	13.4712   	0.070000	13.8879   	0.070000	13.8879   	0.070000	13.12     	0.070000	0.35124   	
0.080000	14.0814   	0.080000	14.7971   	0.080000	15.1268   	0.080000	15.1268   	0.080000	14.4803   	0.080000	0.316766  	
