Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	4.54861   	0.001000	5.88347   	0.001000	6.00161   	0.001000	6.00161   	0.001000	1.9504    	0.001000	3.93307   	
0.002000	4.59517   	0.002000	5.87217   	0.002000	6.07106   	0.002000	6.07106   	0.002000	2.52935   	0.002000	3.34281   	
0.005000	4.84581   	0.005000	5.90242   	0.005000	6.28445   	0.005000	6.28445   	0.005000	3.56646   	0.005000	2.33596   	
0.008000	5.16755   	0.008000	6.09216   	0.008000	6.61936   	0.008000	6.61936   	0.008000	4.25385   	0.008000	1.83831   	
0.010000	5.38155   	0.010000	6.24747   	0.010000	6.86018   	0.010000	6.86018   	0.010000	4.62513   	0.010000	1.62235   	
0.015000	6.10675   	0.015000	6.7628    	0.015000	7.48685   	0.015000	7.48685   	0.015000	5.49077   	0.015000	1.27203   	
0.020000	6.76898   	0.020000	7.3668    	0.020000	8.2672    	0.020000	8.2672    	0.020000	6.30836   	0.020000	1.05843   	
0.025000	7.54821   	0.025000	8.12908   	0.025000	9.09691   	0.025000	9.09691   	0.025000	7.21647   	0.025000	0.912601  	
0.030000	8.24802   	0.030000	8.89836   	0.030000	10.02     	0.030000	10.02     	0.030000	8.09256   	0.030000	0.805799  	
0.035000	8.8653    	0.035000	9.65826   	0.035000	10.9359   	0.035000	10.9359   	0.035000	8.93835   	0.035000	0.719909  	
0.040000	9.40791   	0.040000	10.4222   	0.040000	11.8432   	0.040000	11.8432   	0.040000	9.7671    	0.040000	0.655078  	
0.045000	9.85818   	0.045000	11.1822   	0.045000	12.7287   	0.045000	12.7287   	0.045000	10.5826   	0.045000	0.599589  	
0.050000	10.2091   	0.050000	11.9214   	0.050000	13.5932   	0.050000	13.5932   	0.050000	11.3658   	0.050000	0.555557  	
0.055000	10.7845   	0.055000	12.7325   	0.055000	14.4307   	0.055000	14.4307   	0.055000	12.2143   	0.055000	0.51815   	
0.060000	11.3014   	0.060000	13.5255   	0.060000	15.239    	0.060000	15.239    	0.060000	13.0395   	0.060000	0.485931  	
0.070000	12.1666   	0.070000	15.0474   	0.070000	16.7621   	0.070000	16.7621   	0.070000	14.6142   	0.070000	0.433157  	
