Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	4.54861   	0.001000	4.88743   	0.001000	4.85625   	0.001000	4.85625   	0.001000	1.29416   	0.001000	3.59327   	
0.002000	4.59517   	0.002000	4.5685    	0.002000	4.67627   	0.002000	4.67627   	0.002000	1.67832   	0.002000	2.89019   	
0.005000	4.84581   	0.005000	4.25926   	0.005000	4.71676   	0.005000	4.71676   	0.005000	2.36647   	0.005000	1.89278   	
0.008000	5.16755   	0.008000	4.27221   	0.008000	5.02169   	0.008000	5.02169   	0.008000	2.82258   	0.008000	1.44962   	
0.010000	5.38155   	0.010000	4.33381   	0.010000	5.25855   	0.010000	5.25855   	0.010000	3.06894   	0.010000	1.26487   	
0.015000	6.10675   	0.015000	4.5467    	0.015000	5.86501   	0.015000	5.86501   	0.015000	3.57291   	0.015000	0.973786  	
0.020000	6.76898   	0.020000	4.78112   	0.020000	6.44909   	0.020000	6.44909   	0.020000	3.97992   	0.020000	0.801197  	
0.025000	7.54821   	0.025000	5.04951   	0.025000	7.00084   	0.025000	7.00084   	0.025000	4.36411   	0.025000	0.685395  	
0.030000	8.24802   	0.030000	5.99115   	0.030000	7.67324   	0.030000	7.67324   	0.030000	5.39498   	0.030000	0.596163  	
0.035000	8.8653    	0.035000	6.91182   	0.035000	8.35446   	0.035000	8.35446   	0.035000	6.37877   	0.035000	0.533042  	
0.040000	9.40791   	0.040000	7.78018   	0.040000	9.03379   	0.040000	9.03379   	0.040000	7.29706   	0.040000	0.483121  	
0.045000	9.85818   	0.045000	8.59219   	0.045000	9.7082    	0.045000	9.7082    	0.045000	8.14965   	0.045000	0.442541  	
0.050000	10.2091   	0.050000	9.36504   	0.050000	10.3753   	0.050000	10.3753   	0.050000	8.95621   	0.050000	0.408834  	
