Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	4.54861   	0.001000	4.46575   	0.001000	4.50341   	0.001000	4.50341   	0.001000	1.43879   	0.001000	3.02696   	
0.002000	4.59517   	0.002000	4.44479   	0.002000	4.49849   	0.002000	4.49849   	0.002000	1.88527   	0.002000	2.55952   	
0.005000	4.84581   	0.005000	4.47425   	0.005000	4.56655   	0.005000	4.56655   	0.005000	2.69729   	0.005000	1.77696   	
0.008000	5.16755   	0.008000	4.63704   	0.008000	4.76158   	0.008000	4.76158   	0.008000	3.24265   	0.008000	1.39439   	
0.010000	5.38155   	0.010000	4.76833   	0.010000	4.91239   	0.010000	4.91239   	0.010000	3.53926   	0.010000	1.22907   	
0.015000	6.10675   	0.015000	5.13709   	0.015000	5.33745   	0.015000	5.33745   	0.015000	4.17533   	0.015000	0.961763  	
0.020000	6.76898   	0.020000	5.56928   	0.020000	5.94247   	0.020000	5.94247   	0.020000	4.77      	0.020000	0.79928   	
0.025000	7.54821   	0.025000	6.11975   	0.025000	6.59009   	0.025000	6.59009   	0.025000	5.4312    	0.025000	0.688557  	
0.030000	8.24802   	0.030000	6.67358   	0.030000	7.19975   	0.030000	7.19975   	0.030000	6.066     	0.030000	0.607578  	
0.035000	8.8653    	0.035000	7.21827   	0.035000	7.80664   	0.035000	7.80664   	0.035000	6.67575   	0.035000	0.542526  	
0.040000	9.40791   	0.040000	7.76045   	0.040000	8.40939   	0.040000	8.40939   	0.040000	7.26834   	0.040000	0.492107  	
