Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	5.19152   	0.001000	5.10291   	0.001000	5.23074   	0.001000	5.23074   	0.001000	1.61784   	0.001000	3.48507   	
0.002000	5.26705   	0.002000	5.11331   	0.002000	5.28597   	0.002000	5.28597   	0.002000	2.11992   	0.002000	2.99339   	
0.005000	5.54      	0.005000	5.15135   	0.005000	5.4167    	0.005000	5.4167    	0.005000	3.03311   	0.005000	2.11824   	
0.008000	5.8855    	0.008000	5.32225   	0.008000	5.65733   	0.008000	5.65733   	0.008000	3.64643   	0.008000	1.67582   	
0.010000	6.11717   	0.010000	5.46223   	0.010000	5.83758   	0.010000	5.83758   	0.010000	3.98001   	0.010000	1.48222   	
0.015000	6.97536   	0.015000	5.88114   	0.015000	6.32696   	0.015000	6.32696   	0.015000	4.71485   	0.015000	1.16629   	
0.020000	7.78541   	0.020000	6.42086   	0.020000	6.99204   	0.020000	6.99204   	0.020000	5.44829   	0.020000	0.972572  	
0.025000	8.73704   	0.025000	7.10172   	0.025000	7.7015    	0.025000	7.7015    	0.025000	6.26187   	0.025000	0.839845  	
0.030000	9.60653   	0.030000	7.78995   	0.030000	8.36349   	0.030000	8.36349   	0.030000	7.04755   	0.030000	0.742404  	
0.035000	10.3709   	0.035000	8.4722    	0.035000	9.02421   	0.035000	9.02421   	0.035000	7.8048    	0.035000	0.667401  	
0.040000	11.0285   	0.040000	9.13682   	0.040000	9.67407   	0.040000	9.67407   	0.040000	8.53239   	0.040000	0.604431  	
0.045000	11.5652   	0.045000	9.78331   	0.045000	10.3142   	0.045000	10.3142   	0.045000	9.22896   	0.045000	0.554358  	
0.050000	11.9305   	0.050000	10.373    	0.050000	10.9407   	0.050000	10.9407   	0.050000	9.85977   	0.050000	0.513237  	
0.055000	12.5585   	0.055000	11.0061   	0.055000	11.5515   	0.055000	11.5515   	0.055000	10.5272   	0.055000	0.478916  	
0.060000	13.1185   	0.060000	11.6203   	0.060000	12.1443   	0.060000	12.1443   	0.060000	11.171    	0.060000	0.449331  	
0.070000	14.045    	0.070000	12.7861   	0.070000	13.2727   	0.070000	13.2727   	0.070000	12.3853   	0.070000	0.400818  	
0.080000	15.0389   	0.080000	13.8475   	0.080000	14.3216   	0.080000	14.3216   	0.080000	13.4849   	0.080000	0.362599  	
0.090000	15.8709   	0.090000	14.8143   	0.090000	15.29     	0.090000	15.29     	0.090000	14.4827   	0.090000	0.331627  	
0.100000	16.5766   	0.100000	15.688    	0.100000	16.1792   	0.100000	16.1792   	0.100000	15.3821   	0.100000	0.305965  	
0.120000	17.3163   	0.120000	17.211    	0.120000	17.7321   	0.120000	17.7321   	0.120000	16.9452   	0.120000	0.265787  	
0.140000	17.8673   	0.140000	18.4373   	0.140000	19.0128   	0.140000	19.0128   	0.140000	18.2017   	0.140000	0.235656  	
0.160000	18.3538   	0.160000	19.425    	0.160000	20.0598   	0.160000	20.0598   	0.160000	19.2128   	0.160000	0.212141  	
0.180000	18.8331   	0.180000	20.2273   	0.180000	20.9116   	0.180000	20.9116   	0.180000	20.0341   	0.180000	0.193228  	
0.200000	19.3272   	0.200000	20.8889   	0.200000	21.6034   	0.200000	21.6034   	0.200000	20.7112   	0.200000	0.177656  	
0.250000	20.2666   	0.250000	22.2958   	0.250000	22.8208   	0.250000	22.8208   	0.250000	22.1474   	0.250000	0.148479  	
0.300000	21.3918   	0.300000	23.5847   	0.300000	23.5649   	0.300000	23.5649   	0.300000	23.4566   	0.300000	0.128059  	
0.350000	22.3298   	0.350000	24.5332   	0.350000	24.0412   	0.350000	24.0412   	0.350000	24.4203   	0.350000	0.1129    	
0.400000	23.0995   	0.400000	25.2766   	0.400000	24.5174   	0.400000	24.5174   	0.400000	25.1755   	0.400000	0.101164  	
0.450000	23.9494   	0.450000	26.1284   	0.450000	25.5554   	0.450000	25.5554   	0.450000	26.0366   	0.450000	0.0917872 	
0.500000	24.6914   	0.500000	26.9212   	0.500000	26.3928   	0.500000	26.3928   	0.500000	26.8371   	0.500000	0.0841087 	
0.600000	24.8949   	0.600000	27.4829   	0.600000	27.171    	0.600000	27.171    	0.600000	27.4107   	0.600000	0.0722538 	
0.700000	24.6287   	0.700000	27.7199   	0.700000	27.3408   	0.700000	27.3408   	0.700000	27.6564   	0.700000	0.0634996 	
0.800000	24.5814   	0.800000	27.2673   	0.800000	27.3828   	0.800000	27.3828   	0.800000	27.2106   	0.800000	0.0567505 	
0.900000	24.4292   	0.900000	26.761    	0.900000	27.3368   	0.900000	27.3368   	0.900000	26.7096   	0.900000	0.0513765 	
1.000000	24.234    	1.000000	26.2588   	1.000000	27.2267   	1.000000	27.2267   	1.000000	26.2118   	1.000000	0.046989  	
1.250000	23.5598   	1.250000	25.6478   	1.250000	26.7001   	1.250000	26.7001   	1.250000	25.609    	1.250000	0.038862  	
1.500000	22.7826   	1.500000	24.9899   	1.500000	25.8576   	1.500000	25.8576   	1.500000	24.9566   	1.500000	0.0332504 	
1.750000	22.0707   	1.750000	24.423    	1.750000	25.0572   	1.750000	25.0572   	1.750000	24.3939   	1.750000	0.0291274 	
2.000000	21.3658   	2.000000	23.8653   	2.000000	24.2937   	2.000000	24.2937   	2.000000	23.8393   	2.000000	0.0259618 	
2.250000	20.6869   	2.250000	23.145    	2.250000	23.566    	2.250000	23.566    	2.250000	23.1216   	2.250000	0.0234498 	
2.500000	22.9346   	2.500000	22.4488   	2.500000	22.8735   	2.500000	22.8735   	2.500000	22.4274   	2.500000	0.0214049 	
3.000000	21.3099   	3.000000	21.0973   	3.000000	21.5903   	3.000000	21.5903   	3.000000	21.079    	3.000000	0.0182701 	
3.500000	19.8785   	3.500000	19.9068   	3.500000	20.4334   	3.500000	20.4334   	3.500000	19.8909   	3.500000	0.0159736 	
4.000000	18.622    	4.000000	18.8743   	4.000000	19.3897   	4.000000	19.3897   	4.000000	18.8601   	4.000000	0.0142146 	
4.500000	17.5162   	4.500000	17.9392   	4.500000	18.4457   	4.500000	18.4457   	4.500000	17.9264   	4.500000	0.0128215 	
5.000000	16.5381   	5.000000	17.0869   	5.000000	17.5891   	5.000000	17.5891   	5.000000	17.0752   	5.000000	0.0116894 	
5.500000	15.6681   	5.500000	16.325    	5.500000	16.8089   	5.500000	16.8089   	5.500000	16.3143   	5.500000	0.0107501 	
6.000000	14.8897   	6.000000	15.6278   	6.000000	16.0959   	6.000000	16.0959   	6.000000	15.6178   	6.000000	0.00995746	
6.500000	14.1895   	6.500000	14.9879   	6.500000	15.4418   	6.500000	15.4418   	6.500000	14.9786   	6.500000	0.00927917	
7.000000	13.5564   	7.000000	14.3989   	7.000000	14.8397   	7.000000	14.8397   	7.000000	14.3902   	7.000000	0.00869174	
7.500000	12.9812   	7.500000	13.8552   	7.500000	14.2837   	7.500000	14.2837   	7.500000	13.847    	7.500000	0.00817778	
8.000000	12.4562   	8.000000	13.3518   	8.000000	13.7688   	8.000000	13.7688   	8.000000	13.3441   	8.000000	0.0077241 	
8.500000	11.9751   	8.500000	12.8846   	8.500000	13.2906   	8.500000	13.2906   	8.500000	12.8772   	8.500000	0.00732052	
9.000000	11.5327   	9.000000	12.4496   	9.000000	12.8451   	9.000000	12.8451   	9.000000	12.4427   	9.000000	0.00695904	
9.500000	11.1243   	9.500000	12.0438   	9.500000	12.4293   	9.500000	12.4293   	9.500000	12.0372   	9.500000	0.00663329	
10.000000	10.7462   	10.000000	12.0212   	10.000000	12.0402   	10.000000	12.0402   	10.000000	12.0149   	10.000000	0.00633814	
11.000000	10.0679   	11.000000	11.3357   	11.000000	11.3001   	11.000000	11.3513   	11.000000	11.3298   	11.000000	0.00582363	
12.000000	9.47681   	12.000000	10.7261   	12.000000	10.6492   	12.000000	10.7386   	12.000000	10.7207   	12.000000	0.00538995	
