Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	4.87595   	0.001000	6.29541   	0.001000	6.4862    	0.001000	6.4862    	0.001000	2.05744   	0.001000	4.23797   	
0.002000	4.92619   	0.002000	6.29736   	0.002000	6.59438   	0.002000	6.59438   	0.002000	2.66817   	0.002000	3.62919   	
0.005000	5.17441   	0.005000	6.32197   	0.005000	6.85107   	0.005000	6.85107   	0.005000	3.76219   	0.005000	2.55978   	
0.008000	5.50151   	0.008000	6.50987   	0.008000	7.21862   	0.008000	7.21862   	0.008000	4.48731   	0.008000	2.02256   	
0.010000	5.72124   	0.010000	6.66694   	0.010000	7.48043   	0.010000	7.48043   	0.010000	4.87896   	0.010000	1.78797   	
0.015000	6.53138   	0.015000	7.22862   	0.015000	8.14798   	0.015000	8.14798   	0.015000	5.82288   	0.015000	1.40574   	
0.020000	7.29516   	0.020000	7.93579   	0.020000	8.96376   	0.020000	8.96376   	0.020000	6.76411   	0.020000	1.17168   	
0.025000	8.19141   	0.025000	8.81984   	0.025000	9.83047   	0.025000	9.83047   	0.025000	7.80839   	0.025000	1.01144   	
0.030000	9.00532   	0.030000	9.71594   	0.030000	10.7962   	0.030000	10.7962   	0.030000	8.82207   	0.030000	0.89387   	
0.035000	9.73012   	0.035000	10.6078   	0.035000	11.7571   	0.035000	11.7571   	0.035000	9.80442   	0.035000	0.803408  	
0.040000	10.3494   	0.040000	11.4813   	0.040000	12.6998   	0.040000	12.6998   	0.040000	10.7537   	0.040000	0.727559  	
0.045000	10.8071   	0.045000	12.2979   	0.045000	13.6259   	0.045000	13.6259   	0.045000	11.6289   	0.045000	0.669008  	
0.050000	11.152    	0.050000	13.0584   	0.050000	14.5241   	0.050000	14.5241   	0.050000	12.4408   	0.050000	0.617574  	
0.055000	11.7429   	0.055000	13.8993   	0.055000	15.3964   	0.055000	15.3964   	0.055000	13.3231   	0.055000	0.576217  	
0.060000	12.2703   	0.060000	14.7196   	0.060000	16.2379   	0.060000	16.2379   	0.060000	14.179    	0.060000	0.540573  	
