Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	4.87595   	0.001000	4.80097   	0.001000	4.88826   	0.001000	4.88826   	0.001000	1.51815   	0.001000	3.28282   	
0.002000	4.92619   	0.002000	4.78368   	0.002000	4.9028    	0.002000	4.9028    	0.002000	1.98927   	0.002000	2.79441   	
0.005000	5.17441   	0.005000	4.80191   	0.005000	4.98918   	0.005000	4.98918   	0.005000	2.84614   	0.005000	1.95577   	
0.008000	5.50151   	0.008000	4.96162   	0.008000	5.20154   	0.008000	5.20154   	0.008000	3.42162   	0.008000	1.54      	
0.010000	5.72124   	0.010000	5.09401   	0.010000	5.36471   	0.010000	5.36471   	0.010000	3.73461   	0.010000	1.35939   	
0.015000	6.53138   	0.015000	5.49015   	0.015000	5.81838   	0.015000	5.81838   	0.015000	4.42393   	0.015000	1.06623   	
0.020000	7.29516   	0.020000	5.99897   	0.020000	6.4521    	0.020000	6.4521    	0.020000	5.11159   	0.020000	0.887376  	
0.025000	8.19141   	0.025000	6.63992   	0.025000	7.12995   	0.025000	7.12995   	0.025000	5.8747    	0.025000	0.76522   	
0.030000	9.00532   	0.030000	7.28763   	0.030000	7.76563   	0.030000	7.76563   	0.030000	6.61189   	0.030000	0.675737  	
0.035000	9.73012   	0.035000	7.92964   	0.035000	8.40101   	0.035000	8.40101   	0.035000	7.32267   	0.035000	0.606973  	
0.040000	10.3494   	0.040000	8.55373   	0.040000	9.02533   	0.040000	9.02533   	0.040000	8.00587   	0.040000	0.547856  	
0.045000	10.8071   	0.045000	9.13895   	0.045000	9.64376   	0.045000	9.64376   	0.045000	8.63535   	0.045000	0.503593  	
0.050000	11.152    	0.050000	9.67631   	0.050000	10.2479   	0.050000	10.2479   	0.050000	9.21031   	0.050000	0.466007  	
0.055000	11.7429   	0.055000	10.2712   	0.055000	10.8372   	0.055000	10.8372   	0.055000	9.83658   	0.055000	0.434647  	
0.060000	12.2703   	0.060000	10.8488   	0.060000	11.4094   	0.060000	11.4094   	0.060000	10.4412   	0.060000	0.407635  	
0.070000	13.1445   	0.070000	11.9462   	0.070000	12.4993   	0.070000	12.4993   	0.070000	11.5828   	0.070000	0.363385  	
0.080000	14.0824   	0.080000	12.9467   	0.080000	13.5129   	0.080000	13.5129   	0.080000	12.6182   	0.080000	0.328561  	
0.090000	14.8688   	0.090000	13.8593   	0.090000	14.4491   	0.090000	14.4491   	0.090000	13.5589   	0.090000	0.300365  	
0.100000	15.537    	0.100000	14.6851   	0.100000	15.3088   	0.100000	15.3088   	0.100000	14.408    	0.100000	0.277019  	
0.120000	16.2432   	0.120000	16.1268   	0.120000	16.8099   	0.120000	16.8099   	0.120000	15.8863   	0.120000	0.240497  	
0.140000	16.7714   	0.140000	17.2905   	0.140000	18.0469   	0.140000	18.0469   	0.140000	17.0773   	0.140000	0.213132  	
0.160000	17.2378   	0.160000	18.2296   	0.160000	19.0568   	0.160000	19.0568   	0.160000	18.0378   	0.160000	0.191791  	
0.180000	17.6966   	0.180000	18.9938   	0.180000	19.8767   	0.180000	19.8767   	0.180000	18.8192   	0.180000	0.174636  	
0.200000	18.1683   	0.200000	19.6247   	0.200000	20.5408   	0.200000	20.5408   	0.200000	19.4642   	0.200000	0.160517  	
0.250000	19.1669   	0.250000	21.0853   	0.250000	21.7015   	0.250000	21.7015   	0.250000	20.9512   	0.250000	0.134082  	
0.300000	20.1067   	0.300000	22.1647   	0.300000	22.4002   	0.300000	22.4002   	0.300000	22.0491   	0.300000	0.115594  	
0.350000	20.8962   	0.350000	22.9536   	0.350000	22.8372   	0.350000	22.8372   	0.350000	22.8517   	0.350000	0.101877  	
0.400000	21.6981   	0.400000	23.7248   	0.400000	23.2753   	0.400000	23.2753   	0.400000	23.6335   	0.400000	0.0912626 	
0.450000	22.5501   	0.450000	24.5981   	0.450000	24.154    	0.450000	24.154    	0.450000	24.5153   	0.450000	0.0827844 	
0.500000	23.2352   	0.500000	25.3301   	0.500000	24.8501   	0.500000	24.8501   	0.500000	25.2543   	0.500000	0.075844  	
0.600000	23.3994   	0.600000	25.8295   	0.600000	25.6902   	0.600000	25.6902   	0.600000	25.7644   	0.600000	0.065133  	
0.700000	23.0305   	0.700000	25.9215   	0.700000	25.78     	0.700000	25.78     	0.700000	25.8642   	0.700000	0.0572267 	
0.800000	23.2092   	0.800000	25.7425   	0.800000	25.7595   	0.800000	25.7595   	0.800000	25.6913   	0.800000	0.0511332 	
0.900000	23.2458   	0.900000	25.468    	0.900000	25.6642   	0.900000	25.6642   	0.900000	25.4217   	0.900000	0.0462828 	
1.000000	23.1821   	1.000000	25.1264   	1.000000	25.5152   	1.000000	25.5152   	1.000000	25.084    	1.000000	0.0423236 	
1.250000	22.6243   	1.250000	24.6407   	1.250000	24.818    	1.250000	24.818    	1.250000	24.6057   	1.250000	0.0349925 	
1.500000	21.8532   	1.500000	23.9815   	1.500000	23.991    	1.500000	23.991    	1.500000	23.9516   	1.500000	0.0299322 	
1.750000	21.0189   	1.750000	23.2679   	1.750000	23.2096   	1.750000	23.2096   	1.750000	23.2416   	1.750000	0.0262155 	
2.000000	20.1839   	2.000000	22.5515   	2.000000	22.4679   	2.000000	22.4679   	2.000000	22.5282   	2.000000	0.0233626 	
2.250000	19.4002   	2.250000	21.7092   	2.250000	21.7639   	2.250000	21.7639   	2.250000	21.6881   	2.250000	0.0210991 	
2.500000	20.9811   	2.500000	20.9429   	2.500000	21.0965   	2.500000	21.0965   	2.500000	20.9237   	2.500000	0.0192569 	
3.000000	19.4464   	3.000000	19.5676   	3.000000	19.8657   	3.000000	19.8657   	3.000000	19.5512   	3.000000	0.0164333 	
3.500000	18.1044   	3.500000	18.3859   	3.500000	18.7621   	3.500000	18.7621   	3.500000	18.3715   	3.500000	0.0143654 	
4.000000	16.9327   	4.000000	17.3428   	4.000000	17.7709   	4.000000	17.7709   	4.000000	17.33     	4.000000	0.0127817 	
4.500000	15.9055   	4.500000	16.4309   	4.500000	16.8779   	4.500000	16.8779   	4.500000	16.4193   	4.500000	0.0115277 	
5.000000	14.9999   	5.000000	15.62     	5.000000	16.0703   	5.000000	16.0703   	5.000000	15.6094   	5.000000	0.0105087 	
5.500000	14.1964   	5.500000	14.9016   	5.500000	15.337    	5.500000	15.337    	5.500000	14.892    	5.500000	0.00966344	
6.000000	13.4791   	6.000000	14.2465   	6.000000	14.6685   	6.000000	14.6685   	6.000000	14.2376   	6.000000	0.00895024	
6.500000	12.8351   	6.500000	13.6471   	6.500000	14.0567   	6.500000	14.0567   	6.500000	13.6388   	6.500000	0.00833996	
7.000000	12.2537   	7.000000	13.0968   	7.000000	13.4949   	7.000000	13.4949   	7.000000	13.089    	7.000000	0.00781148	
7.500000	11.7262   	7.500000	12.5899   	7.500000	12.9771   	7.500000	12.9771   	7.500000	12.5826   	7.500000	0.00734913	
8.000000	11.2454   	8.000000	12.1216   	8.000000	12.4984   	8.000000	12.4984   	8.000000	12.1147   	8.000000	0.00694103	
8.500000	10.8054   	8.500000	11.6877   	8.500000	12.0546   	8.500000	12.0546   	8.500000	11.6811   	8.500000	0.00657803	
9.000000	10.4011   	9.000000	11.2845   	9.000000	11.6418   	9.000000	11.6418   	9.000000	11.2783   	9.000000	0.00625291	
9.500000	10.0282   	9.500000	10.9089   	9.500000	11.2571   	9.500000	11.2571   	9.500000	10.9029   	9.500000	0.00595995	
10.000000	9.68333   	10.000000	10.8812   	10.000000	10.8975   	10.000000	10.8975   	10.000000	10.8755   	10.000000	0.00569453	
11.000000	9.06542   	11.000000	10.2483   	11.000000	10.2178   	11.000000	10.2606   	11.000000	10.243    	11.000000	0.00523186	
12.000000	8.52762   	12.000000	9.6869    	12.000000	9.62117   	12.000000	9.69559   	12.000000	9.68205   	12.000000	0.00484192	
13.000000	8.05508   	13.000000	9.18583   	13.000000	9.09352   	13.000000	9.19126   	13.000000	9.18132   	13.000000	0.00450856	
14.000000	7.63644   	14.000000	8.736     	14.000000	8.62369   	14.000000	8.73861   	14.000000	8.73178   	14.000000	0.00422014	
15.000000	7.26284   	15.000000	8.33      	15.000000	8.20271   	15.000000	8.3303    	15.000000	8.32603   	15.000000	0.003968  	
16.000000	6.92727   	16.000000	7.96178   	16.000000	7.82366   	16.000000	7.96032   	16.000000	7.95803   	16.000000	0.00374562	
