Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	5.42181   	0.001000	6.9854    	0.001000	7.16887   	0.001000	7.16887   	0.001000	2.23654   	0.001000	4.74886   	
0.002000	5.49978   	0.002000	7.03904   	0.002000	7.33028   	0.002000	7.33028   	0.002000	2.90044   	0.002000	4.1386    	
0.005000	5.75463   	0.005000	7.07311   	0.005000	7.60236   	0.005000	7.60236   	0.005000	4.0897    	0.005000	2.98342   	
0.008000	6.08921   	0.008000	7.25761   	0.008000	7.97238   	0.008000	7.97238   	0.008000	4.87794   	0.008000	2.37967   	
0.010000	6.31684   	0.010000	7.41577   	0.010000	8.23904   	0.010000	8.23904   	0.010000	5.30368   	0.010000	2.11209   	
0.015000	7.19      	0.015000	8.00832   	0.015000	8.93091   	0.015000	8.93091   	0.015000	6.337     	0.015000	1.67132   	
0.020000	8.02409   	0.020000	8.77786   	0.020000	9.79557   	0.020000	9.79557   	0.020000	7.37924   	0.020000	1.39861   	
0.025000	9.00822   	0.025000	9.74688   	0.025000	10.7217   	0.025000	10.7217   	0.025000	8.53616   	0.025000	1.21072   	
0.030000	9.91152   	0.030000	10.7337   	0.030000	11.7591   	0.030000	11.7591   	0.030000	9.66143   	0.030000	1.07223   	
0.035000	10.7085   	0.035000	11.7189   	0.035000	12.7948   	0.035000	12.7948   	0.035000	10.7536   	0.035000	0.96531   	
0.040000	11.3974   	0.040000	12.6904   	0.040000	13.8177   	0.040000	13.8177   	0.040000	11.8105   	0.040000	0.879924  	
0.045000	11.9656   	0.045000	13.6353   	0.045000	14.816    	0.045000	14.816    	0.045000	12.8296   	0.045000	0.805728  	
0.050000	12.4013   	0.050000	14.5562   	0.050000	15.7933   	0.050000	15.7933   	0.050000	13.8087   	0.050000	0.747565  	
0.055000	13.0617   	0.055000	15.4998   	0.055000	16.7383   	0.055000	16.7383   	0.055000	14.8046   	0.055000	0.695215  	
0.060000	13.6516   	0.060000	16.4157   	0.060000	17.6544   	0.060000	17.6544   	0.060000	15.7629   	0.060000	0.652737  	
0.070000	14.6306   	0.070000	18.1687   	0.070000	19.3832   	0.070000	19.3832   	0.070000	17.5858   	0.070000	0.58296   	
0.080000	15.6797   	0.080000	19.785    	0.080000	20.9688   	0.080000	20.9688   	0.080000	19.2571   	0.080000	0.52788   	
0.090000	16.5601   	0.090000	21.2733   	0.090000	22.4102   	0.090000	22.4102   	0.090000	20.7902   	0.090000	0.483175  	
0.100000	17.3085   	0.100000	22.6311   	0.100000	23.711    	0.100000	23.711    	0.100000	22.1851   	0.100000	0.446087  	
0.120000	18.1025   	0.120000	25.014    	0.120000	25.9197   	0.120000	25.9197   	0.120000	24.6261   	0.120000	0.387933  	
0.140000	18.7469   	0.140000	27.0031   	0.140000	27.6667   	0.140000	27.6667   	0.140000	26.6589   	0.140000	0.34425   	
0.160000	19.317    	0.160000	28.5989   	0.160000	29.0318   	0.160000	29.0318   	0.160000	28.2888   	0.160000	0.310114  	
0.180000	19.8688   	0.180000	29.8562   	0.180000	30.0905   	0.180000	30.0905   	0.180000	29.5736   	0.180000	0.282631  	
0.200000	20.4281   	0.200000	30.8439   	0.200000	30.9082   	0.200000	30.9082   	0.200000	30.5839   	0.200000	0.259982  	
0.250000	21.2462   	0.250000	32.3817   	0.250000	32.2272   	0.250000	32.2272   	0.250000	32.1642   	0.250000	0.217499  	
0.300000	22.4195   	0.300000	33.8174   	0.300000	32.9313   	0.300000	32.9313   	0.300000	33.6297   	0.300000	0.187727  	
0.350000	23.4071   	0.350000	34.7212   	0.350000	33.3274   	0.350000	33.3274   	0.350000	34.5556   	0.350000	0.165603  	
0.400000	24.225    	0.400000	35.3446   	0.400000	33.8061   	0.400000	33.8061   	0.400000	35.1961   	0.400000	0.148461  	
0.450000	24.9421   	0.450000	35.8775   	0.450000	35.1871   	0.450000	35.1871   	0.450000	35.7427   	0.450000	0.134755  	
0.500000	25.7741   	0.500000	36.693    	0.500000	36.3094   	0.500000	36.3094   	0.500000	36.5695   	0.500000	0.123525  	
0.600000	26.0872   	0.600000	37.0087   	0.600000	36.8067   	0.600000	36.8067   	0.600000	36.9025   	0.600000	0.106176  	
0.700000	25.8903   	0.700000	36.9973   	0.700000	36.9278   	0.700000	36.9278   	0.700000	36.9039   	0.700000	0.0933554 	
0.800000	26.3462   	0.800000	36.7693   	0.800000	36.9005   	0.800000	36.9005   	0.800000	36.6858   	0.800000	0.083465  	
0.900000	26.5484   	0.900000	36.3411   	0.900000	36.7689   	0.900000	36.7689   	0.900000	36.2655   	0.900000	0.075586  	
1.000000	26.6106   	1.000000	35.8331   	1.000000	36.5609   	1.000000	36.5609   	1.000000	35.764    	1.000000	0.0691503 	
1.250000	26.3139   	1.250000	35.3094   	1.250000	35.8237   	1.250000	35.8237   	1.250000	35.2522   	1.250000	0.0572229 	
1.500000	25.5001   	1.500000	34.3062   	1.500000	34.6346   	1.500000	34.6346   	1.500000	34.2572   	1.500000	0.0489813 	
1.750000	24.5601   	1.750000	33.2238   	1.750000	33.4667   	1.750000	33.4667   	1.750000	33.1808   	1.750000	0.0429228 	
2.000000	23.5555   	2.000000	32.087    	2.000000	32.3742   	2.000000	32.3742   	2.000000	32.0487   	2.000000	0.038269  	
2.250000	22.6571   	2.250000	30.8449   	2.250000	31.3484   	2.250000	31.3484   	2.250000	30.8103   	2.250000	0.0345749 	
2.500000	24.935    	2.500000	29.6142   	2.500000	30.3834   	2.500000	30.3834   	2.500000	29.5826   	2.500000	0.0315666 	
3.000000	23.223    	3.000000	27.6438   	3.000000	28.6181   	3.000000	28.6181   	3.000000	27.6168   	3.000000	0.0269532 	
3.500000	21.7035   	3.500000	26.0782   	3.500000	27.0457   	3.500000	27.0457   	3.500000	26.0546   	3.500000	0.0235722 	
4.000000	20.3629   	4.000000	24.6958   	4.000000	25.6386   	4.000000	25.6386   	4.000000	24.6748   	4.000000	0.0209815 	
4.500000	19.1785   	4.500000	23.4616   	4.500000	24.3731   	4.500000	24.3731   	4.500000	23.4427   	4.500000	0.0189292 	
5.000000	18.1278   	5.000000	22.3433   	5.000000	23.2295   	5.000000	23.2295   	5.000000	22.3261   	5.000000	0.0172608 	
5.500000	17.1907   	5.500000	21.3487   	5.500000	22.1912   	5.500000	22.1912   	5.500000	21.3328   	5.500000	0.0158764 	
6.000000	16.3506   	6.000000	20.4392   	6.000000	21.2443   	6.000000	21.2443   	6.000000	20.4245   	6.000000	0.0147079 	
