Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	5.42181   	0.001000	5.90351   	0.001000	5.90356   	0.001000	5.90356   	0.001000	1.52224   	0.001000	4.38127   	
0.002000	5.49978   	0.002000	5.59072   	0.002000	5.7694    	0.002000	5.7694    	0.002000	1.97411   	0.002000	3.61662   	
0.005000	5.75463   	0.005000	5.22323   	0.005000	5.84346   	0.005000	5.84346   	0.005000	2.78354   	0.005000	2.43968   	
0.008000	6.08921   	0.008000	5.21136   	0.008000	6.19677   	0.008000	6.19677   	0.008000	3.32004   	0.008000	1.89132   	
0.010000	6.31684   	0.010000	5.26843   	0.010000	6.47225   	0.010000	6.47225   	0.010000	3.60981   	0.010000	1.65862   	
0.015000	7.19      	0.015000	5.4899    	0.015000	7.18274   	0.015000	7.18274   	0.015000	4.2026    	0.015000	1.28729   	
0.020000	8.02409   	0.020000	5.74576   	0.020000	7.87188   	0.020000	7.87188   	0.020000	4.68134   	0.020000	1.06442   	
0.025000	9.00822   	0.025000	6.05231   	0.025000	8.52373   	0.025000	8.52373   	0.025000	5.13858   	0.025000	0.913733  	
0.030000	9.91152   	0.030000	7.26992   	0.030000	9.28994   	0.030000	9.28994   	0.030000	6.46579   	0.030000	0.804134  	
0.035000	10.7085   	0.035000	8.46467   	0.035000	10.0523   	0.035000	10.0523   	0.035000	7.75088   	0.035000	0.713794  	
0.040000	11.3974   	0.040000	9.61175   	0.040000	10.8196   	0.040000	10.8196   	0.040000	8.96362   	0.040000	0.648132  	
0.045000	11.9656   	0.045000	10.6926   	0.045000	11.5811   	0.045000	11.5811   	0.045000	10.098    	0.045000	0.594592  	
0.050000	12.4013   	0.050000	11.7122   	0.050000	12.334    	0.050000	12.334    	0.050000	11.1622   	0.050000	0.550006  	
0.055000	13.0617   	0.055000	12.6805   	0.055000	13.0764   	0.055000	13.0764   	0.055000	12.1683   	0.055000	0.512237  	
0.060000	13.6516   	0.060000	13.6072   	0.060000	13.8064   	0.060000	13.8064   	0.060000	13.1274   	0.060000	0.479786  	
0.070000	14.6306   	0.070000	15.22     	0.070000	15.2236   	0.070000	15.2236   	0.070000	14.7932   	0.070000	0.426788  	
0.080000	15.6797   	0.080000	16.7077   	0.080000	16.576    	0.080000	16.576    	0.080000	16.3225   	0.080000	0.385221  	
0.090000	16.5601   	0.090000	18.0973   	0.090000	17.8571   	0.090000	17.8571   	0.090000	17.7456   	0.090000	0.351656  	
0.100000	17.3085   	0.100000	19.3904   	0.100000	19.0626   	0.100000	19.0626   	0.100000	19.0665   	0.100000	0.323927  	
0.120000	18.1025   	0.120000	21.6951   	0.120000	21.2398   	0.120000	21.2398   	0.120000	21.4145   	0.120000	0.280663  	
0.140000	18.7469   	0.140000	23.6794   	0.140000	23.1081   	0.140000	23.1081   	0.140000	23.4311   	0.140000	0.24834   	
0.160000	19.317    	0.160000	25.4159   	0.160000	24.686    	0.160000	24.686    	0.160000	25.1927   	0.160000	0.223188  	
0.180000	19.8688   	0.180000	26.8833   	0.180000	26.0018   	0.180000	26.0018   	0.180000	26.6803   	0.180000	0.203008  	
0.200000	20.4281   	0.200000	28.1272   	0.200000	27.0882   	0.200000	27.0882   	0.200000	27.9407   	0.200000	0.186425  	
0.250000	21.2462   	0.250000	30.4949   	0.250000	29.0133   	0.250000	29.0133   	0.250000	30.3395   	0.250000	0.15544   	
0.300000	22.4195   	0.300000	32.7617   	0.300000	30.1515   	0.300000	30.1515   	0.300000	32.6279   	0.300000	0.133823  	
0.350000	23.4071   	0.350000	34.41     	0.350000	30.8159   	0.350000	30.8159   	0.350000	34.2922   	0.350000	0.117814  	
0.400000	24.225    	0.400000	35.5581   	0.400000	31.2023   	0.400000	31.2023   	0.400000	35.4527   	0.400000	0.105444  	
0.450000	24.9421   	0.450000	36.3525   	0.450000	32.6612   	0.450000	32.6612   	0.450000	36.2569   	0.450000	0.0955751 	
0.500000	25.7741   	0.500000	37.3444   	0.500000	33.853    	0.500000	33.853    	0.500000	37.2569   	0.500000	0.0875049 	
0.600000	26.0872   	0.600000	38.6498   	0.600000	34.4773   	0.600000	34.4773   	0.600000	38.5748   	0.600000	0.0750655 	
0.700000	25.8903   	0.700000	39.2799   	0.700000	34.5175   	0.700000	34.5175   	0.700000	39.214    	0.700000	0.0658962 	
0.800000	26.3462   	0.800000	39.4457   	0.800000	34.4089   	0.800000	34.4089   	0.800000	39.3869   	0.800000	0.0588373 	
0.900000	26.5484   	0.900000	39.2506   	0.900000	34.2083   	0.900000	34.2083   	0.900000	39.1974   	0.900000	0.0532235 	
1.000000	26.6106   	1.000000	38.9035   	1.000000	33.946    	1.000000	33.946    	1.000000	38.8548   	1.000000	0.0486449 	
1.250000	26.3139   	1.250000	37.6828   	1.250000	33.1259   	1.250000	33.1259   	1.250000	37.6426   	1.250000	0.0401759 	
1.500000	25.5001   	1.500000	35.9222   	1.500000	31.9099   	1.500000	31.9099   	1.500000	35.8879   	1.500000	0.0343378 	
1.750000	24.5601   	1.750000	34.1493   	1.750000	30.7336   	1.750000	30.7336   	1.750000	34.1192   	1.750000	0.0300541 	
2.000000	23.5555   	2.000000	32.3936   	2.000000	29.653    	2.000000	29.653    	2.000000	32.3669   	2.000000	0.0267686 	
2.250000	22.6571   	2.250000	30.8529   	2.250000	28.6497   	2.250000	28.6497   	2.250000	30.8287   	2.250000	0.0241638 	
2.500000	24.935    	2.500000	29.3699   	2.500000	27.7132   	2.500000	27.7132   	2.500000	29.3479   	2.500000	0.0220449 	
3.000000	23.223    	3.000000	27.0484   	3.000000	26.0126   	3.000000	26.0126   	3.000000	27.0296   	3.000000	0.0187997 	
3.500000	21.7035   	3.500000	25.2509   	3.500000	24.5083   	3.500000	24.5083   	3.500000	25.2345   	3.500000	0.0164249 	
4.000000	20.3629   	4.000000	23.7062   	4.000000	23.1688   	4.000000	23.1688   	4.000000	23.6916   	4.000000	0.0146074 	
4.500000	19.1785   	4.500000	22.3575   	4.500000	21.9691   	4.500000	21.9691   	4.500000	22.3443   	4.500000	0.0131691 	
5.000000	18.1278   	5.000000	21.1588   	5.000000	20.8886   	5.000000	20.8886   	5.000000	21.1468   	5.000000	0.0120009 	
5.500000	17.1907   	5.500000	20.0851   	5.500000	19.9107   	5.500000	19.9107   	5.500000	20.0741   	5.500000	0.0110322 	
6.000000	16.3506   	6.000000	19.1168   	6.000000	19.0215   	6.000000	19.0215   	6.000000	19.1066   	6.000000	0.0102153 	
6.500000	15.5936   	6.500000	18.2381   	6.500000	18.2093   	6.500000	18.2093   	6.500000	18.2286   	6.500000	0.00951638	
7.000000	14.9079   	7.000000	17.4372   	7.000000	17.4646   	7.000000	17.4646   	7.000000	17.4282   	7.000000	0.00891136	
7.500000	14.2841   	7.500000	16.704    	7.500000	16.7792   	7.500000	16.7792   	7.500000	16.6956   	7.500000	0.0083822 	
8.000000	13.7141   	8.000000	16.0304   	8.000000	16.1463   	8.000000	16.1463   	8.000000	16.0225   	8.000000	0.00791525	
8.500000	13.1913   	8.500000	15.4094   	8.500000	15.56     	8.500000	15.56     	8.500000	15.4019   	8.500000	0.00749999	
9.000000	12.7098   	9.000000	14.8349   	9.000000	15.0153   	9.000000	15.0153   	9.000000	14.8277   	9.000000	0.00712815	
9.500000	12.2651   	9.500000	14.3019   	9.500000	14.508    	9.500000	14.508    	9.500000	14.2951   	9.500000	0.00679316	
10.000000	11.8529   	10.000000	13.2317   	10.000000	14.0341   	10.000000	14.0341   	10.000000	13.2252   	10.000000	0.0064897 	
11.000000	11.1128   	11.000000	12.543    	11.000000	13.1287   	11.000000	13.1868   	11.000000	12.537    	11.000000	0.00596089	
12.000000	10.4669   	12.000000	11.9209   	12.000000	12.3387   	12.000000	12.4403   	12.000000	11.9154   	12.000000	0.00551532	
13.000000	9.89808   	13.000000	11.3574   	13.000000	11.6439   	13.000000	11.7781   	13.000000	11.3523   	13.000000	0.00513453	
14.000000	9.39304   	14.000000	10.8452   	14.000000	11.0283   	14.000000	11.1871   	14.000000	10.8404   	14.000000	0.00480514	
15.000000	8.9415    	15.000000	10.378    	15.000000	10.4795   	15.000000	10.6567   	15.000000	10.3735   	15.000000	0.00451726	
16.000000	8.53525   	16.000000	9.95035   	16.000000	9.98769   	16.000000	10.1783   	16.000000	9.94609   	16.000000	0.0042634 	
17.000000	8.16769   	17.000000	9.55767   	17.000000	9.54483   	17.000000	9.74509   	17.000000	9.55364   	17.000000	0.00403778	
18.000000	7.83346   	18.000000	9.19595   	18.000000	9.14405   	18.000000	9.35108   	18.000000	9.19212   	18.000000	0.00383588	
19.000000	7.52814   	19.000000	8.86175   	19.000000	8.7799    	19.000000	8.99149   	19.000000	8.8581    	19.000000	0.00365407	
20.000000	7.24808   	20.000000	8.5521    	20.000000	8.44796   	20.000000	8.66224   	20.000000	8.54862   	20.000000	0.00348947	
21.000000	6.99022   	21.000000	8.26445   	21.000000	8.14436   	21.000000	8.35986   	21.000000	8.26111   	21.000000	0.0033397 	
22.000000	6.75196   	22.000000	7.99656   	22.000000	7.86579   	22.000000	8.08142   	22.000000	7.99336   	22.000000	0.00320282	
23.000000	6.53113   	23.000000	7.74649   	23.000000	7.60952   	23.000000	7.82437   	23.000000	7.74341   	23.000000	0.00307721	
24.000000	6.32583   	24.000000	7.51253   	24.000000	7.37327   	24.000000	7.58654   	24.000000	7.50957   	24.000000	0.00296151	
25.000000	6.13447   	25.000000	7.2932    	25.000000	7.15504   	25.000000	7.36603   	25.000000	7.29034   	25.000000	0.00285458	
27.000000	5.78812   	27.000000	6.89328   	27.000000	6.76555   	27.000000	6.97055   	27.000000	6.89061   	27.000000	0.00266325	
29.000000	5.48294   	29.000000	6.53789   	29.000000	6.42917   	29.000000	6.62695   	29.000000	6.53539   	29.000000	0.00249697	
