Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	5.42181   	0.001000	5.33609   	0.001000	5.41398   	0.001000	5.41398   	0.001000	1.65104   	0.001000	3.68505   	
0.002000	5.49978   	0.002000	5.35562   	0.002000	5.46278   	0.002000	5.46278   	0.002000	2.16345   	0.002000	3.19218   	
0.005000	5.75463   	0.005000	5.37824   	0.005000	5.54968   	0.005000	5.54968   	0.005000	3.09541   	0.005000	2.28283   	
0.008000	6.08921   	0.008000	5.53562   	0.008000	5.75762   	0.008000	5.75762   	0.008000	3.72134   	0.008000	1.81428   	
0.010000	6.31684   	0.010000	5.66955   	0.010000	5.92138   	0.010000	5.92138   	0.010000	4.06178   	0.010000	1.60776   	
0.015000	7.19      	0.015000	6.08479   	0.015000	6.38838   	0.015000	6.38838   	0.015000	4.81578   	0.015000	1.26901   	
0.020000	8.02409   	0.020000	6.63849   	0.020000	7.05994   	0.020000	7.05994   	0.020000	5.57823   	0.020000	1.06026   	
0.025000	9.00822   	0.025000	7.34134   	0.025000	7.78424   	0.025000	7.78424   	0.025000	6.42455   	0.025000	0.916794  	
0.030000	9.91152   	0.030000	8.05498   	0.030000	8.46646   	0.030000	8.46646   	0.030000	7.24374   	0.030000	0.811241  	
0.035000	10.7085   	0.035000	8.76468   	0.035000	9.15085   	0.035000	9.15085   	0.035000	8.03482   	0.035000	0.729862  	
0.040000	11.3974   	0.040000	9.46113   	0.040000	9.82997   	0.040000	9.82997   	0.040000	8.79619   	0.040000	0.664939  	
0.045000	11.9656   	0.045000	10.1331   	0.045000	10.4941   	0.045000	10.4941   	0.045000	9.52618   	0.045000	0.606892  	
0.050000	12.4013   	0.050000	10.7862   	0.050000	11.1502   	0.050000	11.1502   	0.050000	10.2232   	0.050000	0.562905  	
0.055000	13.0617   	0.055000	11.4607   	0.055000	11.7897   	0.055000	11.7897   	0.055000	10.9359   	0.055000	0.524786  	
0.060000	13.6516   	0.060000	12.1059   	0.060000	12.4125   	0.060000	12.4125   	0.060000	11.6134   	0.060000	0.492557  	
0.070000	14.6306   	0.070000	13.3319   	0.070000	13.6012   	0.070000	13.6012   	0.070000	12.8922   	0.070000	0.439659  	
0.080000	15.6797   	0.080000	14.4499   	0.080000	14.7096   	0.080000	14.7096   	0.080000	14.0519   	0.080000	0.397942  	
0.090000	16.5601   	0.090000	15.4695   	0.090000	15.736    	0.090000	15.736    	0.090000	15.1054   	0.090000	0.364107  	
0.100000	17.3085   	0.100000	16.3922   	0.100000	16.681    	0.100000	16.681    	0.100000	16.0561   	0.100000	0.336054  	
0.120000	18.1025   	0.120000	18.0028   	0.120000	18.3375   	0.120000	18.3375   	0.120000	17.7107   	0.120000	0.292096  	
0.140000	18.7469   	0.140000	19.3504   	0.140000	19.7103   	0.140000	19.7103   	0.140000	19.0913   	0.140000	0.259102  	
0.160000	19.317    	0.160000	20.451    	0.160000	20.8384   	0.160000	20.8384   	0.160000	20.2177   	0.160000	0.233334  	
0.180000	19.8688   	0.180000	21.3471   	0.180000	21.761    	0.180000	21.761    	0.180000	21.1345   	0.180000	0.212599  	
0.200000	20.4281   	0.200000	22.0865   	0.200000	22.5145   	0.200000	22.5145   	0.200000	21.891    	0.200000	0.195518  	
0.250000	21.2462   	0.250000	23.38     	0.250000	23.8545   	0.250000	23.8545   	0.250000	23.2165   	0.250000	0.163494  	
0.300000	22.4195   	0.300000	24.722    	0.300000	24.6886   	0.300000	24.6886   	0.300000	24.5809   	0.300000	0.141066  	
0.350000	23.4071   	0.350000	25.7195   	0.350000	25.234    	0.350000	25.234    	0.350000	25.5951   	0.350000	0.124407  	
0.400000	24.225    	0.400000	26.5097   	0.400000	25.7836   	0.400000	25.7836   	0.400000	26.3982   	0.400000	0.111504  	
0.450000	24.9421   	0.450000	27.2071   	0.450000	27.0054   	0.450000	27.0054   	0.450000	27.1059   	0.450000	0.101191  	
0.500000	25.7741   	0.500000	28.0972   	0.500000	28.0076   	0.500000	28.0076   	0.500000	28.0045   	0.500000	0.0927433 	
0.600000	26.0872   	0.600000	28.7948   	0.600000	28.6104   	0.600000	28.6104   	0.600000	28.7151   	0.600000	0.0796964 	
0.700000	25.8903   	0.700000	29.1355   	0.700000	28.8652   	0.700000	28.8652   	0.700000	29.0654   	0.700000	0.070058  	
